year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2174,148,0.000504555,0.067579916,0.161274253,4.6544008,3.063512008,0.012543143,0.936652478,2.383101985,0.006036033,538.8026174,2442.186117,1946.715997,2681.496973,
2175,149,0.000473428,0.062893719,0.162948341,4.602767772,3.066304648,0.012247483,0.94044103,2.383565035,0.006153188,552.707534,2498.55764,1998.154818,2721.674621,
2176,150,0.000449708,0.064567667,0.16843811,4.544730079,3.069066309,0.011940459,0.939974875,2.385447452,0.006286051,564.6107026,2555.582912,2027.643845,2761.598327,
2177,151,0.000455273,0.063659228,0.162281455,4.483064499,3.071793147,0.011629823,0.940982914,2.391947384,0.006428181,577.5819048,2615.300797,2091.207115,2801.226911,
2178,152,0.000419686,0.066119172,0.167909133,4.42868762,3.074482986,0.011343793,0.941147653,2.392765378,0.006557234,590.4240926,2674.914428,2119.828685,2840.437914,
2179,153,0.000370479,0.063714265,0.164887075,4.36575344,3.077140198,0.011041488,0.943423516,2.398386769,0.006704659,604.7445482,2737.529407,2182.448762,2879.21151,
2180,154,0.000331078,0.069918289,0.15846716,4.289099501,3.07975965,0.010710745,0.943493488,2.401079468,0.006879557,618.0137555,2800.31707,2232.823787,2917.405767,
2181,155,0.000290329,0.069700908,0.159829283,4.202729728,3.08233311,0.010362634,0.94888469,2.398060166,0.007072976,634.7874468,2864.480524,2280.878731,2954.981917,
2182,156,0.000301311,0.068534129,0.16262376,4.106185197,3.084854748,0.009996832,0.953780827,2.396398938,0.007284853,651.6442342,2930.297849,2328.952357,2991.85264,
2183,157,0.000299258,0.068894744,0.160725005,4.020412598,3.087318459,0.009664505,0.957397608,2.397253276,0.007475141,668.2069546,2997.987372,2386.63335,3027.915547,
2184,158,0.000184942,0.069562289,0.163094644,3.939678822,3.089730706,0.009350933,0.961114347,2.396415165,0.007655003,685.3011514,3066.834852,2432.942651,3063.054764,
2185,159,-0.000284886,0.067836869,0.167852676,3.817155682,3.092094514,0.008945799,0.965187854,2.397675439,0.007909901,702.8006817,3137.833558,2479.738815,3097.176259,
