year,t,i_d,i_c,i_f,P_emissions,Temp,kd,kc,kf,ks,E_agg,Y_agg,C_agg,SCC,
2144,119,0.005951306,0.072058306,0.115459153,20.91697287,3.359976182,0.081242286,0.886235928,1.884206298,0.009194772,197.0558263,1125.306137,911.8312087,2529.147587,
2145,120,-0.000490429,0.074894375,0.116430187,21.31560573,3.372526366,0.081679755,0.896691058,1.874073845,0.008616421,203.2975938,1150.733908,932.5838011,2572.269201,
2146,121,0.005594753,0.072985706,0.11422968,20.06890988,3.38531573,0.076050353,0.908928159,1.865391354,0.009335212,202.4601252,1170.500227,947.8018134,2615.683694,
2147,122,-0.000881101,0.075632228,0.115169017,20.45454114,3.397357076,0.076484813,0.918881629,1.855292913,0.008748027,208.8440887,1196.992773,969.4131924,2659.629439,
2148,123,0.004604474,0.072931401,0.114145809,19.14595434,3.4096298,0.070788698,0.93049099,1.846614784,0.009772263,207.6140462,1217.167617,985.2515994,2703.844787,
2149,124,0.004101474,0.073091101,0.115481917,19.36763952,3.421117373,0.070677753,0.939178182,1.837552765,0.009157588,213.3211972,1244.135095,1005.523709,2748.59693,
2150,125,0.003794397,0.07368826,0.115861306,19.47154813,3.432737957,0.070130585,0.947506694,1.830195095,0.008581576,218.5383558,1271.23729,1026.200968,2793.620726,
2151,126,0.003639204,0.074221756,0.116145169,19.50796604,3.444420885,0.069342149,0.955865995,1.823602479,0.008041795,223.5421653,1298.680529,1047.107487,2838.910252,
2152,127,0.003622287,0.075429485,0.115432213,19.51706707,3.456125665,0.068461827,0.964200557,1.81764577,0.007535966,228.5192042,1326.64515,1068.65842,2884.451449,
2153,128,0.003765835,0.076804192,0.114489254,19.53578714,3.467835905,0.067619609,0.973080973,1.811417376,0.007061953,233.7237591,1355.276254,1090.643852,2930.222428,
2154,129,-0.001374034,0.079109023,0.114329448,19.60681574,3.479557378,0.066957197,0.982616303,1.80473227,0.006617757,239.3959951,1384.76741,1114.366016,2976.194259,
2155,130,0.003512573,0.07746541,0.112274815,18.14260115,3.491321467,0.061361525,0.993549807,1.79830131,0.008181734,237.6168846,1408.057742,1133.573267,3022.328166,
2156,131,0.003223478,0.07771396,0.113116416,18.22814949,3.502207028,0.060849789,1.002481086,1.790453228,0.007667103,243.5288427,1438.816887,1156.741904,3068.890967,
2157,132,0.003074808,0.078070294,0.113578653,18.24416745,3.513143917,0.060109198,1.011114474,1.78380372,0.007184842,249.1628502,1469.970291,1180.354828,3115.580118,
2158,133,0.003048224,0.078961098,0.113230267,18.23094072,3.524090418,0.059278922,1.019557695,1.777949319,0.006732916,254.742329,1501.712171,1204.651953,3162.373525,
2159,134,0.00316336,0.07999642,0.112744074,18.22388158,3.535028982,0.058475011,1.028273359,1.772135405,0.006309415,260.5228967,1534.205122,1229.355159,3209.240317,
2160,135,-0.000891773,0.082268844,0.112253121,18.26393951,3.545963311,0.057824087,1.037367916,1.766239332,0.005912553,266.7554926,1567.669499,1255.8348,3256.141422,
2161,136,0.003001522,0.080624639,0.111079231,17.00310871,3.556921675,0.053289612,1.047861957,1.760261766,0.007123811,266.1207597,1595.359165,1278.184829,3303.026245,
2162,137,0.002813086,0.08104679,0.111629202,17.07065594,3.56712354,0.05280659,1.056372655,1.753611009,0.006675724,272.6986057,1630.366631,1304.498961,3350.141145,
2163,138,0.002759394,0.081737148,0.111694625,17.09177964,3.577365934,0.05218266,1.064755551,1.747832125,0.006255821,279.1380781,1665.953737,1331.379112,3397.176044,
2164,139,0.002856597,0.082910497,0.111085217,17.10816141,3.587621002,0.051547916,1.073244931,1.742450302,0.00586233,285.7176324,1702.346799,1359.00497,3444.092419,
2165,140,-0.000274136,0.084871464,0.110779574,17.16643659,3.597885898,0.051039643,1.082243306,1.736853456,0.005493589,292.7855444,1739.794881,1388.12927,3490.840543,
2166,141,0.002908093,0.084230622,0.109195703,16.16970307,3.60818576,0.047554421,1.092385894,1.731319232,0.006238307,293.8580609,1772.305941,1413.971185,3537.357455,
2167,142,-0.000171199,0.085386474,0.109917893,16.30713539,3.617887582,0.047333036,1.10141067,1.724727893,0.005845917,301.7438133,1811.815752,1444.333488,3583.847026,
2168,143,0.002565977,0.08409836,0.109458155,15.4010204,3.627671863,0.044184291,1.110898857,1.719155272,0.006488163,303.2905452,1846.083842,1471.235448,3629.997117,
2169,144,0.002396688,0.084339532,0.110157876,15.48728084,3.636912476,0.043859102,1.118755182,1.713509388,0.006080057,310.9938215,1887.043747,1501.952342,3676.021636,
2170,145,0.00234219,0.084868222,0.110506919,15.52611143,3.646204844,0.043400447,1.126366913,1.708805708,0.005697622,318.5267874,1928.682193,1533.06466,3721.616493,
2171,146,0.002439128,0.085903614,0.110318416,15.55639233,3.655520511,0.042920085,1.133992101,1.704682366,0.005339241,326.1855587,1971.263448,1564.726258,3766.724735,
2172,147,-3.40E-05,0.087757473,0.109884481,15.62930568,3.664854346,0.042556807,1.142060132,1.700637011,0.005003403,334.3951614,2015.127303,1598.421812,3811.275689,
2173,148,0.002584494,0.087333356,0.108863337,14.80237382,3.67423193,0.039845957,1.151238618,1.696451379,0.005592468,336.9274844,2054.332539,1628.757471,3855.180367,
2174,149,0.000153907,0.089003957,0.109145143,14.97889943,3.683113354,0.039797929,1.159533926,1.691622032,0.005240702,346.2777961,2100.822137,1663.474976,3898.618133,
2175,150,0.002567152,0.088152445,0.108572601,14.26472456,3.692100694,0.037448239,1.168771399,1.687321996,0.005671026,349.7431426,2142.513283,1695.991928,3941.240978,
2176,151,0.000105652,0.089846242,0.108943967,14.4818384,3.700659528,0.037527643,1.176759386,1.682775819,0.005314318,359.7541926,2191.398228,1732.218184,3983.227928,
2177,152,0.002532865,0.088987785,0.10852363,13.77812618,3.709348632,0.035272654,1.185727652,1.678820086,0.005776759,363.4551703,2235.075333,1766.000541,4024.226069,
2178,153,-7.32E-05,0.090507123,0.10911006,14.02774278,3.717615507,0.035450684,1.193454716,1.674730661,0.005413401,374.1111458,2286.454117,1803.960281,4064.427273,
2179,154,0.002410752,0.089506774,0.109009709,13.27811443,3.726032153,0.033147535,1.202029816,1.671391553,0.006006926,377.6137442,2331.82691,1838.646763,4103.447972,
2180,155,0.002448382,0.090122372,0.109718294,13.52937435,3.733999022,0.033343775,1.20926397,1.668161019,0.00562909,388.6568833,2385.63594,1877.787077,4141.510537,
2181,156,-0.000331613,0.091977786,0.110030685,13.79448191,3.742116646,0.033561454,1.216607121,1.665735593,0.005275021,400.0986383,2440.848503,1918.224279,4178.191084,
2182,157,0.00263002,0.091241333,0.109498756,12.94745296,3.750393335,0.031117305,1.225106626,1.663723397,0.006078565,403.2503292,2489.023189,1954.934818,4213.359334,
2183,158,-0.000485799,0.093046493,0.110137348,13.32713937,3.758161807,0.031621886,1.232493441,1.661367238,0.005696223,416.1390126,2547.723968,1997.562075,4247.274801,
